novo,name
1,Cerana
33,RG52_T1
34,RG159_T2
35,RG32_T3
36,RG278_T4
37,RG919_T5
38,RG308_T7
39,RG245_T8
40,RG295_T9
41,WT28_U1
42,WT30_U2
43,WT29_U3
44,WT19_U4
45,WT25_U5
46,WT27_U6
47,WT23_U8
48,OSIR1
49,CG4
50,MSN4
51,MSE2
52,MSN1
53,RCA1
54,CA5
55,MSN2
56,RFSO4
57,ROSCG2
58,F89CE
59,F99G
60,F94CE
61,F78G
62,F27G
63,F86CE
64,F91CE
65,F74D19
66,F72G
67,F27G19
68,GTNUC
69,F13R
70,F60L
71,F109R
72,F90CE
73,F16G
74,F37C
75,SO20C
76,SO20I
77,SO20G
78,F98G
79,F85CE
80,F93CE
81,F36C
82,SO20F
83,SO20M
84,SO20E
85,F95DL20
86,F38C
87,F104G
88,F100CE
89,F101
90,F47G
91,F97R
92,AFH1
93,AmC109
94,AmC419
95,AmC423
96,AmC429
97,AmC435
98,CL1
99,F112G
100,F113O
101,F114O
102,F115G
103,F116G
104,F117G
105,F118G
106,F119G
107,F120G
108,F121G
109,F122KY
110,F124KY
111,F125KY
112,F126C
113,F127C
114,F128C
115,F129C
116,F130C
117,F131WM
118,F132O
119,F133O
120,F134LS
121,F135O
122,JIBWCB1
123,Mull_2
124,TD2BLK
125,TD2BND
126,TD31
127,X1
128,X212
129,X21
130,BD1
131,BD31
132,DR11
133,DR16
134,DR19
135,DR23
136,F106LS
137,F107LS
138,F123KY
139,F29GBK17
140,F29GBN17
141,F48G17
142,H1
143,H2
144,JIBWWC1
145,RPOT
146,T5
147,F9810G
148,F9820G
149,F9830G
150,F9510DL
151,F9520DL
152,F9530DL
153,F9210CE
154,F9220CE
155,F9230CE
156,F139DL2022
157,F140DL2021
158,F143DL2022
159,F147DL2022
160,F148DL2022
161,F150DL2022
162,F152DL2021
163,F153DL2021
164,F157DL2021
165,F160DL2022
166,F162DL2022
167,F165DL2022
168,F18DL2021
169,M138DL2022
170,M149DL2021
171,M159DL2022
172,M162DL2022
173,M166DL2022
174,M167DL2022
175,M218DL2021
176,DRX3BLACK
177,F136DL2022
178,F137DL2022
179,F146DL2022
180,F149DL2022
181,F159LH2022
182,M139DL2021
183,M140DL2021
184,M147DL2021
185,M150DL2021
186,M216DL2021
187,M217DL2021
188,M219DL2021
189,NUIG22SW
190,TD21W
191,X211W
192,F141DL2021
193,F142DL2022
194,F144DL2021
195,F156DL2022
196,M136DL2022
197,M137DL2021
198,M141DL2021
199,M142DL2021
200,M143DL2021
201,M144DL2021
202,M148DL2021
203,M153DL2021
204,M155DL2021
205,M156DL2021
206,M215DL2021
874,IOM_MEL1
875,IOM_MEL2
876,MLT_RUT1
877,MLT_RUT2
878,CYP_CYP1
879,ARM_REM1
880,CYP_CYP2
881,AUS_CAR
882,GRG_CAU
883,UNK_MAC
884,SLV_CAR1
885,SLV_CAR2
886,ITA_LIG1
887,ITA_LIG2
888,DEN_MEL1
889,DEN_MEL2
890,MLT_RUT3
891,DEN_MEL3
892,DEN_MEL4
893,SWI_MEL1
894,SWI_MEL2
895,SWI_MEL3
896,SWI_MEL4
897,BUL_ROD1
898,BUL_ROD2
899,BUL_ROD3
900,BUL_ROD4
901,MLT_RUT4
902,ROM_CPT1
903,ROM_CPT2
904,ROM_CPT3
905,ROM_CPT4
906,TKY_ANA1
907,TKY_ANA2
908,TKY_ANA3
909,TKY_ANA4
910,IOM_MEL3
911,IOM_MEL4
912,ARM_REM2
913,ARM_REM3
914,ARM_REM4
915,SPN_IBE1
916,SPN_IBE2
917,RUS_MEL
918,GRC_CER1
919,IRL_MEL
920,SPN_IBE3
921,SPN_IBE4
922,GRC_ADI
999,Cerana_ref
